group,role,price_band,avg_price_no,avg_price_yes,n_trades_no,n_trades_yes,net_mean_pp_no,net_mean_pp_yes,win_rate_no,win_rate_yes,combined_net_mean_pp
Entertainment,maker,"[0,0.05)",0.0236118440340075,0.0215294291048442,37521.0,61062.0,0.0635644039337997,-0.6800465101044822,0.0342474880733455,0.0247289640037994,-0.397025856384973
Entertainment,maker,"[0.05,0.20)",0.1147533109625996,0.1106531288686554,106389.0,100164.0,1.4114429123311705,0.3762828960504732,0.1388677400859111,0.1244159578291601,0.9094614941443624
Entertainment,maker,"[0.20,0.40)",0.2998225256925825,0.2912256203991804,143232.0,92239.0,5.642244749776585,-2.328461930419897,0.3662449731903485,0.2779410010949815,2.5199493780550424
Entertainment,maker,"[0.40,0.60)",0.4906068395753312,0.4963901206978827,134599.0,85917.0,6.710911670963364,-4.814553580781444,0.567715956284965,0.4582445848900683,2.220383101452949
Entertainment,maker,"[0.60,0.80)",0.6979837172331694,0.689802469941078,145307.0,91986.0,2.4981659520876285,-1.315450177200882,0.7329653767540449,0.6866479681690693,1.01982780781564
Entertainment,maker,"[0.80,0.95)",0.8769211756452882,0.8758732311246717,152529.0,79641.0,0.5984435746644882,1.5534335329792457,0.892905611391932,0.9014075664544644,0.9260326484903296
Entertainment,maker,"[0.95,1]",0.9742299065420614,0.9729709804562292,107000.0,48967.0,0.3779439252336505,0.9452488410562306,0.9880093457943924,0.9924234688667878,0.5560535241429344
Entertainment,taker,"[0,0.05)",0.0229922205147905,0.0219129850713929,41648.0,92306.0,-2.7013542066845804,-2.3051155937858807,0.0059786784479446,0.0088618291335341,-2.4283112113113376
Entertainment,taker,"[0.05,0.20)",0.1128796622784007,0.1119316903633491,81961.0,158250.0,-3.723039006356689,-2.867071090047401,0.0867729773916863,0.0943696682464454,-3.1591309307234128
Entertainment,taker,"[0.20,0.40)",0.2985142688058916,0.2910692422152617,91248.0,147179.0,-2.042554357355776,-5.076716107596864,0.2980887252323339,0.260302081139293,-3.9155171184471502
Entertainment,taker,"[0.40,0.60)",0.4916984447864739,0.4979517331834363,87062.0,133425.0,1.9543658542188291,-9.594686153269624,0.5312421033286623,0.4220048716507401,-5.034401121154534
Entertainment,taker,"[0.60,0.80)",0.6982018084444976,0.6895053194436748,91681.0,144376.0,-0.5960449820573481,-8.901437912118379,0.7122413586239242,0.6204909403224913,-5.675747806673824
Entertainment,taker,"[0.80,0.95)",0.8780062239791409,0.8742347016488339,95116.0,105044.0,-2.4931662391185485,-3.73681504893188,0.8646389671558938,0.84869197669548,-3.1458333333333344
Entertainment,taker,"[0.95,1]",0.9743961549256264,0.9715255342739776,71260.0,45997.0,-1.474978950322759,-2.218035958866873,0.9696463654223968,0.9593451746853056,-1.7664617037788735
Media,maker,"[0,0.05)",0.021927962694967,0.0199107765230726,12438.0,14346.0,3.3516642547033317,-1.387843301268644,0.0654446052420003,0.0160323435103861,0.8130973715651163
Media,maker,"[0.05,0.20)",0.1154822686843017,0.1187718314718185,25971.0,23189.0,7.516460667667784,-5.377937815343484,0.2006468753609795,0.0749924533183837,1.434113100081366
Media,maker,"[0.20,0.40)",0.303319217122582,0.2942641584684924,43685.0,30088.0,17.90694746480485,-11.8010502525924,0.4923886917706306,0.1862536559425684,5.790668672820677
Media,maker,"[0.40,0.60)",0.4918248997517662,0.4954158306234001,52370.0,28906.0,18.862764941760556,-15.74603888466062,0.6904525491693718,0.3479554417767938,6.5540626999360265
Media,maker,"[0.60,0.80)",0.6886579673876343,0.6873154285276426,50349.0,26101.0,12.44964150231385,-9.787479406919276,0.8231543824107728,0.5994406344584499,4.857606278613474
Media,maker,"[0.80,0.95)",0.8658497106341934,0.870508344733242,33176.0,18275.0,5.750572703158907,1.1803556771545851,0.9333554376657824,0.892311901504788,4.1272667197916455
Media,maker,"[0.95,1]",0.977682192003909,0.982261609358384,24562.0,16926.0,0.9834296881361488,0.0885028949545096,0.99751648888527,0.9931466383079286,0.6183233706131922
Media,taker,"[0,0.05)",0.0149309614026073,0.0192395041621425,15571.0,22104.0,-1.8572988247382929,-2.7022710821570723,0.0063579731552244,0.0022167933405718,-2.353045786330455
Media,taker,"[0.05,0.20)",0.1184279308836395,0.1224595341492301,18288.0,32929.0,-3.807852143482068,-7.571441586443566,0.0916994750656167,0.0582465304139208,-6.227580686100323
Media,taker,"[0.20,0.40)",0.3011785243230661,0.2995939493640412,25778.0,49846.0,6.197765536503998,-14.99113268868113,0.3831561796881061,0.1696826224772298,-7.76845974822807
Media,taker,"[0.40,0.60)",0.4930270625692138,0.4958641574321744,28896.0,52340.0,12.778827519379837,-21.53865112724494,0.6408153377630121,0.3004776461597249,-9.331774090304796
Media,taker,"[0.60,0.80)",0.6937650329972196,0.6847299772189215,29851.0,44774.0,8.982613647783992,-21.4490105865011,0.8035911694750595,0.4902398713539107,-9.275953098827474
Media,taker,"[0.80,0.95)",0.8687761709475503,0.8711063879572575,23165.0,25642.0,3.809756097560975,-10.415841198034476,0.9188862508094108,0.7789953981748694,-3.6640236031716773
Media,taker,"[0.95,1]",0.9765114850755436,0.9734084204880664,16282.0,14916.0,-0.4261147279203996,-5.360150174309463,0.9822503377963396,0.9298069187449718,-2.785114430412202
Other,maker,"[0,0.05)",0.021485945561288,0.020058445952874,22484.0,48763.0,0.493995730297101,-1.1622336607673796,0.036425902864259,0.0184361093452002,-0.6395637711061477
Other,maker,"[0.05,0.20)",0.118877569704536,0.112903359307564,60075.0,84571.0,-1.3105617977528132,-0.1041255276631119,0.1157719517270079,0.1218621040309325,-0.605187837893874
Other,maker,"[0.20,0.40)",0.2981784174338655,0.2883524004085802,85810.0,88110.0,3.230637454842092,-3.1924072182499166,0.3404847919822864,0.266428328226081,-0.023355565777370243
Other,maker,"[0.40,0.60)",0.4983365568640952,0.490946547884187,98753.0,65554.0,0.9207213958057014,2.147771303047872,0.5175437708221522,0.5224242609146658,1.4102807549282783
Other,maker,"[0.60,0.80)",0.6981168815767628,0.6934966420254142,126487.0,62091.0,3.1429474965806823,0.889323734518686,0.7395463565425696,0.7123898793706012,2.4009216345491016
Other,maker,"[0.80,0.95)",0.8722794491242143,0.8691702801363369,112185.0,49583.0,0.8668538574675727,4.195187866809192,0.8909479876988903,0.9211221588044288,1.8870110281390622
Other,maker,"[0.95,1]",0.9734180378671266,0.9751008919722496,50017.0,25225.0,0.3006577763560418,0.8992269573835519,0.9864246156306856,0.9940931615460852,0.5013290449483032
Other,taker,"[0,0.05)",0.0205625552094471,0.0220700097765696,21509.0,41937.0,-2.502998744711516,-2.1125020864630257,0.005532567762332,0.0109449889119393,-2.2448854143681225
Other,taker,"[0.05,0.20)",0.1199158397943197,0.1174226557516478,49786.0,112872.0,-6.472723255533687,-3.0050676872918,0.0665648977624231,0.0986072719540718,-4.066440015246715
Other,taker,"[0.20,0.40)",0.2950778705704059,0.2912857903223281,62026.0,127758.0,-3.949988714410079,-5.801006590585317,0.2755779834263051,0.2532757244164749,-5.196049192766505
Other,taker,"[0.40,0.60)",0.4979223737311973,0.4901469672312297,65416.0,99546.0,-5.456478537360898,-4.334769855142348,0.4633575883575883,0.4667992686798063,-4.779585601532478
Other,taker,"[0.60,0.80)",0.7015455217160406,0.6907468889221453,86618.0,86867.0,0.4319771871897386,-6.20655715058651,0.7258652935879378,0.6486813174162801,-2.892054068075036
Other,taker,"[0.80,0.95)",0.8752749675428063,0.8700926390421727,81646.0,59802.0,-2.269823383876713,-1.0493127320156563,0.8642554442348676,0.8715427577672987,-1.7538105876364343
Other,taker,"[0.95,1]",0.9756615579302602,0.9737193384882902,56896.0,27029.0,-0.6401152980877358,-2.1974545858152323,0.9792604049493814,0.961744792630138,-1.1416741137920732
Science/Tech,maker,"[0,0.05)",0.0263430191353649,0.0234614703277235,2822.0,5645.0,0.0155917788802289,-1.999822852081485,0.0364989369241672,0.0134632418069087,-1.328097319003186
Science/Tech,maker,"[0.05,0.20)",0.113460094348705,0.111767623771821,10387.0,10483.0,1.6618850486184629,-3.248020604788709,0.1400789448348897,0.0892874177239339,-0.8043603258265483
Science/Tech,maker,"[0.20,0.40)",0.2897786421094778,0.2911602743696259,17483.0,10351.0,6.577646856946773,-13.228770167133606,0.3655551106789452,0.16887257269829,-0.7880290292447912
Science/Tech,maker,"[0.40,0.60)",0.4911568898379597,0.4973290064902645,15922.0,14021.0,5.574550935812099,-0.6722772983382166,0.5569023991960809,0.5006062335068825,2.649433924456471
Science/Tech,maker,"[0.60,0.80)",0.6981779272393759,0.6951056696401842,13084.0,16703.0,9.868541730357675,-2.049811411123777,0.8068633445429533,0.6846075555289469,3.185349313458871
Science/Tech,maker,"[0.80,0.95)",0.8819640971488906,0.8757857299190193,15152.0,9138.0,3.451425554382248,0.2373604727511581,0.9264783526927138,0.888159334646531,2.2422807739810584
Science/Tech,maker,"[0.95,1]",0.9703244933160908,0.970205259781912,9276.0,3118.0,0.4690599396291591,-0.2655548428479689,0.985015092712376,0.9775497113534316,0.2842504437631203
Science/Tech,taker,"[0,0.05)",0.0233952702702702,0.0246871643394198,2368.0,7448.0,-1.1858108108108036,-2.0455155746509126,0.0215371621621621,0.0142320085929108,-1.8381214343928258
Science/Tech,taker,"[0.05,0.20)",0.1133817516677426,0.1062619018177321,9294.0,16174.0,-2.9246825909188567,-5.349944355137867,0.0952227243382827,0.0637442809447261,-4.464897125804921
Science/Tech,taker,"[0.20,0.40)",0.2972342602624299,0.2910833207774595,16614.0,13274.0,-0.7977007343204614,-12.010848274823005,0.3092572529192247,0.19097483802923,-5.777736884368331
Science/Tech,taker,"[0.40,0.60)",0.4940618163855766,0.4997963599338165,14171.0,15714.0,-2.686966339707844,-9.387043400789112,0.4871921529884976,0.4259259259259259,-6.20997155763761
Science/Tech,taker,"[0.60,0.80)",0.6965829640571146,0.7004819830158366,10155.0,17428.0,11.335302806499277,-9.28138627495983,0.8299359921221073,0.6276681202662382,-1.6911140920131875
Science/Tech,taker,"[0.80,0.95)",0.8741851146949811,0.8744137601528885,9983.0,10465.0,0.5718721827106231,-4.619302436693712,0.8918160873484925,0.8402293358815098,-2.084898278560228
Science/Tech,taker,"[0.95,1]",0.971793715449522,0.9684267181893452,6874.0,3623.0,0.3367762583648594,-1.7620756279326473,0.9851614780331684,0.9608059619100192,-0.38763456225587667
Weather,maker,"[0,0.05)",0.0216694200195398,0.0220686751532662,56295.0,262453.0,0.3609023891997599,-0.4509455026233492,0.0352784439115374,0.0275592201270322,-0.30756271411900743
Weather,maker,"[0.05,0.20)",0.1184881266058954,0.1132763679973445,122206.0,470286.0,2.887730553327989,0.2574709857405949,0.1573654321391748,0.1258510778547522,0.7999821094630841
Weather,maker,"[0.20,0.40)",0.3037032796709969,0.2881135363628458,241945.0,439542.0,5.05075947012754,0.3507241628786234,0.3642108743722747,0.3016207779916367,2.0193547345730782
Weather,maker,"[0.40,0.60)",0.5011814393777537,0.4823565973931175,467980.0,251948.0,1.2018270011538943,-1.2074951974216954,0.5231997093892902,0.4802816454188959,0.35865392094764764
Weather,maker,"[0.60,0.80)",0.6902843999700679,0.6843831822558967,548031.0,125653.0,0.3064498176198126,-2.2692096487947064,0.7033488981462728,0.6716910857679482,-0.1739524762351454
Weather,maker,"[0.80,0.95)",0.8709065348370193,0.868397385835833,420745.0,72987.0,0.4508621611665103,0.666433748475752,0.8854151564486803,0.8850617233205913,0.48272949697407314
Weather,maker,"[0.95,1]",0.9757451128465005,0.9814445417761752,221141.0,71919.0,-0.1838917251888957,-0.1288950068827402,0.983906195594666,0.9901555917073376,-0.17039514092676375
Weather,taker,"[0,0.05)",0.0157976406533574,0.0193338145151736,66120.0,185654.0,-1.7933151845129935,-1.771004125954737,0.0078644888082274,0.011623773255626,-1.776863377473448
Weather,taker,"[0.05,0.20)",0.1192343620832186,0.1174316326434743,72580.0,425788.0,-3.027032240286589,-2.549428354016535,0.100372003306696,0.1032203819741279,-2.6189843649672393
Weather,taker,"[0.20,0.40)",0.3032059821027253,0.2983320159982982,122365.0,546558.0,-0.7821681036244058,-3.3535160037909786,0.3153843010664814,0.2847968559603921,-2.883143500821455
Weather,taker,"[0.40,0.60)",0.5061922512984908,0.4879732766816201,241434.0,479656.0,-1.7084172071870865,-3.982527061060464,0.5091080792266209,0.4681480060710176,-3.221113869281262
Weather,taker,"[0.60,0.80)",0.700646835342963,0.6844101837857538,430094.0,252087.0,-3.288323017758879,-7.933630056290103,0.6877636051653825,0.6250738832228556,-5.004907788402185
Weather,taker,"[0.80,0.95)",0.874893987807723,0.869115338979583,455042.0,122205.0,-2.47233881707624,-5.415146679759396,0.8618896717226102,0.8269956221103882,-3.095340469504395
Weather,taker,"[0.95,1]",0.9738664769674392,0.9740209353114064,307153.0,66395.0,-1.6052390828023604,-2.559033059718338,0.967814086139481,0.9584306047142104,-1.7747679013138675
World Events,maker,"[0,0.05)",0.0255286230015471,0.0228151515151514,1939.0,6600.0,3.822073233625587,-0.5087878787878783,0.073749355337803,0.0277272727272727,0.4746457430612502
World Events,maker,"[0.05,0.20)",0.1079902194656488,0.1091057151317737,8384.0,16885.0,20.405176526717536,-2.0497482973053134,0.3220419847328244,0.0986082321587207,5.400569868217959
World Events,maker,"[0.20,0.40)",0.3085351407461685,0.2874665488513003,16377.0,15844.0,23.98699395493681,-3.522216611966695,0.5584050802955364,0.2622443827316334,10.459917445144468
World Events,maker,"[0.40,0.60)",0.4834929919434931,0.506061915046802,18122.0,18057.0,12.01258139278237,-15.254638090491712,0.6136188058713167,0.363515534141884,-1.5965339008819135
World Events,maker,"[0.60,0.80)",0.7094006031666266,0.6733899260302914,23874.0,14195.0,10.626748764346122,-25.4365621697779,0.8256680908100863,0.4290243043325114,-2.820378785888729
World Events,maker,"[0.80,0.95)",0.8817556095670874,0.8852482927240507,28389.0,11861.0,2.226038254253452,-13.333951606103987,0.91401599210962,0.7619087766630133,-2.35922981366455
World Events,maker,"[0.95,1]",0.9705440395665192,0.9712943632567912,13749.0,3832.0,-0.4109389773802379,-2.6440501043841285,0.9764346497927122,0.9548538622129435,-0.89767362493606
World Events,taker,"[0,0.05)",0.0238545338032681,0.0245646105357946,3121.0,11105.0,-2.584428067926932,-0.6469158036920145,0.0080102531239987,0.0280954524988743,-1.0719808800787132
World Events,taker,"[0.05,0.20)",0.1088270799347469,0.1076036991704069,12260.0,29412.0,11.077324632952704,-4.281687746498076,0.2304241435562805,0.0755813953488372,0.236969667882481
World Events,taker,"[0.20,0.40)",0.3187572658376884,0.2812093380805939,13591.0,24716.0,24.16268118607904,-13.427294060527515,0.5803840776984769,0.1669363974753196,-0.09068838593462934
World Events,taker,"[0.40,0.60)",0.4851220847476195,0.5050002846245791,18266.0,17567.0,11.723639548888428,-13.119371548926797,0.622358480236505,0.3938065691353105,-0.4555577261184101
World Events,taker,"[0.60,0.80)",0.7008749269812422,0.6800586716733175,15407.0,17044.0,0.4509638476017537,-27.592114527106265,0.7253845654572597,0.424137526402253,-14.277895904594587
World Events,taker,"[0.80,0.95)",0.8802023035149468,0.880589628226379,16757.0,8446.0,0.3271468639971167,-23.275633435946048,0.8950886196813272,0.6593653800615676,-7.5825893742808645
World Events,taker,"[0.95,1]",0.9727921747967508,0.9686517295597478,7872.0,2544.0,-1.226371951219508,-8.87146226415094,0.9705284552845528,0.889937106918239,-3.093605990783406
